CustomerID,CustomerName,Gender,ContactNumber,EmailAddress,Address,LocationID
1,William Raval,Female,6570085195,gopalchakrika@example.org,"H.No. 796, Talwar Street
Baranagar-307044",5
2,Ladli Grover,Female,4785338823,dhawanabhimanyu@example.net,"007
Mand Ganj
Bikaner 686036",13
3,Osha Bhagat,Female,01381620696,dganesan@example.org,"79, Badami Nagar, Bidhannagar 612516",10
4,Isaac Sachar,Male,6363634597,tanmayideol@example.net,"138, Dixit Circle
Dehri-762526",10
5,Nimrat Garde,Female,+910328948720,aashisanghvi@example.net,"14/02, Patla Path, Munger-770114",3
6,Rayaan Ahluwalia,Female,1725957816,trivedironith@example.com,"H.No. 41, Yohannan Path, Raebareli-591101",13
7,Rishi Date,Male,05597389609,shroffdarsh@example.net,"97
Sem Zila
Naihati-257246",15
8,Siddharth Mahajan,Male,3456396795,shaurya28@example.com,"75/99, Dyal Road, Fatehpur 927222",14
9,Warinder Kala,Female,0238566842,fmani@example.net,"376, Badal Ganj
Nangloi Jat 114744",14
10,Jhalak Palan,Female,+911599001927,oliverjain@example.com,"361, Kala Street
Bongaigaon-205595",1
11,Indali Pant,Female,+912409495177,trivedijacob@example.org,"39, Lal Road, Bahraich 466205",6
12,Sarthak Soman,Male,07384578902,modineha@example.org,"26/24
Ramesh Street, Dewas 427288",6
13,Aayush Shah,Female,2875923244,finnbalay@example.com,"H.No. 06, Om, Munger 273954",4
14,Xiti Raval,Male,+914435362472,jwali@example.net,"H.No. 442
Halder, Bilaspur 037053",11
15,Yashica Gulati,Male,4722819869,nidra70@example.com,"44/300
Taneja Road, Kakinada-351779",1
16,Upasna Bawa,Male,+916148716007,jaindamyanti@example.org,"13/646
Varma Circle
Bhubaneswar 212308",3
17,Anirudh Bedi,Male,00098285764,rranganathan@example.net,"95/934
Ratta Zila, Jhansi 297095",5
18,Mitali Magar,Male,+910916575874,shauryaoommen@example.com,"98/292
Rajagopalan Marg
Rajkot 941615",10
19,Unnati Dass,Male,+917654443484,achoudhury@example.net,"H.No. 635, Sunder Zila, Medininagar-225168",13
20,Wyatt Oommen,Female,+919494756950,kiaan75@example.com,"H.No. 52, Vig Zila, Madurai 809413",7
